asset_id,original_file,brand_detected,category,visual_role,source_type,source_url,rights_status,commercial_use_allowed,derivative_allowed,needs_masking,masking_targets,risk_level,approved_for_generation,notes
asset_000034,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_034.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000035,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_035.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000036,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_036.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000037,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_037.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000038,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_038.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000039,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_039.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000040,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_040.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000041,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_041.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000042,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_042.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000043,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_043.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000044,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_044.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000045,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_045.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000046,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_046.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000047,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_047.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000048,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_048.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000049,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_049.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000050,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_050.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000051,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_051.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000052,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_052.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000053,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_053.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000054,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_054.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000055,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_055.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000056,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_056.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000057,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_057.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000058,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_058.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000059,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_059.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000060,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_060.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000061,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_061.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
